V1,V2
2.072345,-3.241693
17.93671,15.78481
1.083576,7.319176
11.12067,14.40678
23.71155,2.557729
24.16993,32.02478
21.66578,4.892855
4.693684,12.34217
19.21191,-1.121366
4.230391,-4.441536
9.12713,23.60572
0.4075031,15.29705
7.314846,3.309312
-3.438403,-12.02527
17.63935,-3.212345
4.415292,22.81555
11.94122,8.122487
0.7258532,1.806819
8.185273,28.1326
-5.773587,1.0248
18.76943,24.16946
7.752016,-3.334991
10.61132,28.44378
2.02165,-4.687122
5.145525,11.186
6.24331,19.47716
-11.70671,8.073185
7.255978,14.63704
3.392373,1.220712
24.2999,40.42887
4.094005,6.944695
11.80358,-2.445336
0.09228785,-6.651035
28.50607,-9.091833
23.40831,7.931438
10.56305,12.54468
20.14157,11.11789
-1.871265,8.60885
29.30237,14.02176
18.65383,17.21672
-2.972188,6.370999
10.32313,12.11574
16.90539,-1.355044
6.75371,12.02797
23.94777,13.35047
6.883513,6.188563
-1.241542,10.08179
20.50827,-1.57887
-3.75683,1.60851
17.9176,13.09896
2.002537,-0.656524
10.7768,15.5336
24.15819,5.330366
0.3268727,7.288787
21.64777,14.00506
6.871417,21.51998
15.14264,5.111947
11.54712,4.75756
0.6611676,-10.14263
-13.66531,16.93903
24.90937,-10.82038
-4.53022,-6.173767
3.163677,8.051481
1.495172,-7.261601
7.097637,2.105751
3.509483,24.58487
12.99879,24.91248
0.3593824,6.387915
14.35429,-2.252421
3.831208,-2.000873
31.40462,26.77209
-5.501097,13.39128
-1.04476,5.955898
4.409013,9.323681
2.917201,16.53999
7.265954,10.64794
10.32038,13.36857
9.35213,10.42427
6.648532,11.07535
-1.922306,4.888493
7.22604,13.02948
8.327288,8.540999
17.69046,21.59555
16.58353,18.16115
12.35425,31.96708
2.471138,5.482761
18.4925,29.42421
10.1196,7.162078
20.40245,3.943319
12.71589,4.531656
24.35859,-4.0644
21.74312,15.90887
12.27208,-9.612116
18.29681,22.38563
3.530957,8.673297
5.026042,36.03767
-0.8633009,-7.586249
26.83892,13.13713
19.11999,7.209715
-0.8841637,27.15254
-5.191529,29.65612
9.796095,15.43598
11.66314,10.63428
9.925199,26.80364
33.90998,15.02652
9.57004,9.2481
-16.2653,13.90024
15.10579,3.350049
-4.186504,7.96441
12.54816,32.51867
-7.733469,9.634491
18.91337,15.7414
-1.050022,-4.003455
-6.894765,1.041802
23.05031,-12.76934
25.96073,11.44522
7.950795,6.811407
-3.669517,-4.329696
10.52266,23.3561
26.29452,10.51806
12.42904,23.15663
0.1170239,24.65274
-1.040023,1.629857
11.16266,9.0201
13.61452,0.8832188
8.028045,14.82966
20.40253,22.0472
8.818028,18.90424
-0.3163153,21.40601
7.190193,9.13962
-0.4711474,-8.29095
16.6546,-1.519889
10.51711,-5.018592
17.96306,14.46713
-1.315535,11.6027
5.113728,3.961434
32.25842,-2.712702
-10.59094,15.40292
21.60892,17.75002
11.31144,1.031762
11.30595,3.068958
15.51137,8.943091
15.37201,18.17922
3.77755,13.33419
17.27989,13.97798
-3.349734,26.6599
15.72571,6.373983
25.50999,15.15837
16.68281,18.95937
-4.734694,24.09568
25.08795,19.69376
7.038364,10.6667
4.521214,-6.635304
6.454509,13.66272
5.322541,22.3855
0.6316529,19.79414
-5.669132,11.32511
9.843806,-4.695499
15.39168,14.14527
1.289581,10.09948
17.10334,6.207793
17.13273,6.609228
9.70176,12.33497
18.80351,-3.160759
6.08478,4.689186
-6.025192,26.61258
4.237603,7.315439
16.82231,8.13356
-4.768829,28.65819
0.5061416,4.946298
12.57349,10.41494
16.35374,6.874306
0.1009744,2.590253
13.67556,-12.72959
2.477362,8.42026
14.99279,15.16393
29.71711,15.62874
17.48491,3.3823
13.45815,-4.13764
2.2072,-1.554494
23.05134,24.39491
32.74222,25.56641
15.56297,24.94262
8.132651,8.998712
0.4580866,-9.891244
-9.164294,5.029294
-3.031709,20.23346
12.12393,15.103
19.95281,29.14982
13.00477,27.23093
10.4399,25.7741
0.351724,12.2222
10.37312,6.863773
17.95419,4.455694
21.06292,3.607867
6.069686,9.325338
14.00808,11.5225
-1.777792,14.62108
0.7525703,-7.381838
